area_type,availability,bath,balcony,price,site_location,bhk,new_total_sqft,price_per_sqft
Super built-up  Area,19-Dec,2.0,1.0,39.07,Alandi Road,2,1056.0,3699.810606060606
Plot  Area,Ready To Move,4.0,1.0,245.0,Alandi Road,4,2894.0,8465.791292328957
Super built-up  Area,Ready To Move,2.0,2.0,50.0,Alandi Road,2,1084.0,4612.546125461255
Super built-up  Area,Ready To Move,2.0,2.0,80.0,Alandi Road,2,1230.0,6504.065040650406
Super built-up  Area,Ready To Move,3.0,2.0,130.0,Alandi Road,3,1750.0,7428.571428571428
Built-up  Area,Ready To Move,2.0,1.0,41.0,Alandi Road,2,995.0,4120.603015075377
Super built-up  Area,Ready To Move,2.0,1.0,95.0,Alandi Road,2,1360.0,6985.294117647059
Built-up  Area,Ready To Move,2.0,2.0,50.0,Alandi Road,2,1040.0,4807.692307692308
Super built-up  Area,Ready To Move,3.0,2.0,86.06,Alandi Road,3,1655.0,5200.0
Super built-up  Area,19-Mar,5.0,3.0,198.0,Alandi Road,4,2790.0,7096.774193548387
Super built-up  Area,Ready To Move,2.0,1.0,42.0,Alandi Road,2,1028.0,4085.603112840467
Super built-up  Area,Ready To Move,2.0,3.0,57.0,Alandi Road,2,1300.0,4384.615384615385
Super built-up  Area,Ready To Move,3.0,1.0,101.0,Alandi Road,3,1564.0,6457.800511508952
Built-up  Area,Ready To Move,2.0,1.0,59.0,Alandi Road,2,1012.0,5830.0395256917
Super built-up  Area,Ready To Move,5.0,2.0,185.0,Alandi Road,4,2519.0,7344.184200079397
Super built-up  Area,Ready To Move,2.0,3.0,62.0,Alandi Road,2,1520.0,4078.9473684210525
Super built-up  Area,Ready To Move,3.0,2.0,78.0,Alandi Road,3,1550.0,5032.258064516129
Super built-up  Area,18-Apr,2.0,1.0,46.5,Alandi Road,2,950.0,4894.736842105263
Super built-up  Area,Ready To Move,2.0,2.0,56.0,Alandi Road,2,1280.0,4375.0
Built-up  Area,Ready To Move,2.0,1.0,79.0,Alandi Road,2,1350.0,5851.851851851852
Plot  Area,18-Feb,2.0,0.0,85.0,Alandi Road,3,1500.0,5666.666666666667
Super built-up  Area,Ready To Move,4.0,2.0,230.0,Alandi Road,4,3250.0,7076.923076923077
Super built-up  Area,Ready To Move,2.0,2.0,77.5,Alandi Road,3,1150.0,6739.130434782609
Super built-up  Area,Ready To Move,2.0,2.0,75.0,Alandi Road,3,1080.0,6944.444444444444
Super built-up  Area,Ready To Move,3.0,2.0,93.25,Alandi Road,3,1743.0,5349.971313826735
Super built-up  Area,19-Nov,2.0,1.0,45.91,Alandi Road,2,984.0,4665.650406504065
Plot  Area,Ready To Move,9.0,2.0,166.0,Alandi Road,9,4500.0,3688.8888888888887
Super built-up  Area,17-Oct,2.0,2.0,55.0,Alandi Road,2,1225.0,4489.7959183673465
Built-up  Area,Ready To Move,2.0,1.0,50.0,Alandi Road,2,1100.0,4545.454545454545
Super built-up  Area,Ready To Move,2.0,1.0,75.0,Alandi Road,2,1210.0,6198.347107438017
Super built-up  Area,Ready To Move,2.0,2.0,72.0,Alandi Road,2,1250.0,5760.0
Super built-up  Area,Ready To Move,2.0,2.0,42.0,Alandi Road,2,900.0,4666.666666666667
Super built-up  Area,Ready To Move,2.0,2.0,52.43,Alandi Road,2,1075.0,4877.209302325581
Super built-up  Area,Ready To Move,2.0,2.0,82.0,Alandi Road,2,1265.0,6482.213438735178
Super built-up  Area,21-Dec,2.0,1.0,41.0,Alandi Road,2,900.0,4555.555555555556
